edge,interaction_class,score_tier,score_percentile,demo_review_flag
33|34,paracrine,high,78.0,unreviewed
34|27,paracrine,high,76.8,reviewed
34|28,paracrine,high,84.4,reviewed
34|29,paracrine,high,99.2,unreviewed
34|33,paracrine,high,82.8,unreviewed
34|34,autocrine,high,89.6,unreviewed
34|35,paracrine,high,91.6,unreviewed
35|28,paracrine,high,72.6,unreviewed
35|29,paracrine,high,94.4,unreviewed
35|34,paracrine,high,78.4,unreviewed
35|35,autocrine,high,80.0,reviewed
35|36,paracrine,high,98.4,reviewed
36|30,paracrine,high,95.6,reviewed
36|35,paracrine,high,96.8,unreviewed
36|36,autocrine,high,100.0,unreviewed
3|10,paracrine,low,14.4,unreviewed
3|2,paracrine,low,2.8,unreviewed
3|3,autocrine,low,15.2,unreviewed
3|4,paracrine,low,22.4,unreviewed
3|8,paracrine,low,4.0,reviewed
3|9,paracrine,low,4.8,reviewed
4|10,paracrine,mid,39.0,unreviewed
4|3,paracrine,mid,41.8,unreviewed
4|4,autocrine,mid,52.0,reviewed
4|5,paracrine,mid,45.2,unreviewed
4|9,paracrine,low,26.4,reviewed
5|10,paracrine,low,20.0,unreviewed
5|11,paracrine,mid,37.4,unreviewed
5|12,paracrine,low,31.2,reviewed
5|4,paracrine,low,23.2,unreviewed
5|5,autocrine,low,24.0,unreviewed
5|6,paracrine,low,21.2,unreviewed
6|11,paracrine,mid,61.6,unreviewed
6|12,paracrine,mid,60.4,reviewed
6|5,paracrine,mid,50.8,reviewed
6|6,autocrine,mid,48.4,reviewed
7|1,paracrine,low,19.0,unreviewed
7|13,paracrine,low,7.6,unreviewed
7|14,paracrine,low,17.6,unreviewed
7|2,paracrine,low,14.8,unreviewed
7|7,autocrine,low,8.4,unreviewed
7|8,paracrine,low,12.0,unreviewed
8|1,paracrine,low,10.0,unreviewed
8|13,paracrine,low,8.0,unreviewed
8|14,paracrine,low,12.8,unreviewed
8|15,paracrine,mid,35.6,unreviewed
8|2,paracrine,low,6.0,unreviewed
8|3,paracrine,low,18.0,reviewed
8|7,paracrine,low,5.6,unreviewed
8|8,autocrine,low,9.4,unreviewed
8|9,paracrine,low,7.2,unreviewed
9|10,paracrine,low,32.0,unreviewed
9|14,paracrine,low,22.0,reviewed
9|15,paracrine,mid,44.2,reviewed
9|16,paracrine,mid,42.8,unreviewed
9|2,paracrine,low,16.0,reviewed
9|3,paracrine,low,26.0,reviewed
9|4,paracrine,mid,40.4,unreviewed
9|8,paracrine,low,17.2,unreviewed
9|9,autocrine,low,19.0,reviewed
