edge,interaction_class,score_tier,score_percentile,demo_review_flag
s_016um_00052_00108-1|s_016um_00054_00109-1,paracrine,low,49.89,unreviewed
s_016um_00052_00109-1|s_016um_00051_00109-1,paracrine,low,49.89,unreviewed
s_016um_00052_00109-1|s_016um_00052_00107-1,paracrine,low,49.89,unreviewed
s_016um_00052_00109-1|s_016um_00052_00108-1,paracrine,low,49.89,unreviewed
s_016um_00052_00109-1|s_016um_00052_00109-1,autocrine,low,49.89,unreviewed
s_016um_00052_00109-1|s_016um_00052_00110-1,paracrine,low,49.89,unreviewed
s_016um_00052_00109-1|s_016um_00053_00107-1,paracrine,low,49.89,unreviewed
s_016um_00052_00109-1|s_016um_00053_00108-1,paracrine,low,49.89,unreviewed
s_016um_00052_00109-1|s_016um_00053_00109-1,paracrine,low,49.89,unreviewed
s_016um_00052_00109-1|s_016um_00053_00110-1,paracrine,low,49.89,unreviewed
s_016um_00052_00109-1|s_016um_00054_00108-1,paracrine,low,49.89,reviewed
s_016um_00052_00109-1|s_016um_00054_00109-1,paracrine,low,49.89,reviewed
s_016um_00052_00109-1|s_016um_00054_00110-1,paracrine,low,49.89,unreviewed
s_016um_00052_00110-1|s_016um_00051_00109-1,paracrine,low,49.89,reviewed
s_016um_00052_00110-1|s_016um_00052_00108-1,paracrine,low,49.89,unreviewed
s_016um_00052_00110-1|s_016um_00052_00109-1,paracrine,low,49.89,unreviewed
s_016um_00052_00110-1|s_016um_00052_00110-1,autocrine,low,49.89,unreviewed
s_016um_00052_00110-1|s_016um_00053_00108-1,paracrine,low,49.89,reviewed
s_016um_00052_00110-1|s_016um_00053_00109-1,paracrine,low,49.89,reviewed
s_016um_00052_00110-1|s_016um_00053_00110-1,paracrine,low,49.89,reviewed
s_016um_00052_00110-1|s_016um_00054_00109-1,paracrine,low,49.89,unreviewed
s_016um_00052_00110-1|s_016um_00054_00110-1,paracrine,low,49.89,unreviewed
s_016um_00053_00093-1|s_016um_00053_00093-1,autocrine,low,49.89,unreviewed
s_016um_00053_00093-1|s_016um_00054_00091-1,paracrine,low,49.89,unreviewed
s_016um_00053_00093-1|s_016um_00054_00092-1,paracrine,low,49.89,unreviewed
s_016um_00053_00093-1|s_016um_00054_00093-1,paracrine,low,49.89,reviewed
s_016um_00053_00093-1|s_016um_00054_00094-1,paracrine,low,49.89,reviewed
s_016um_00053_00093-1|s_016um_00054_00095-1,paracrine,low,49.89,reviewed
s_016um_00053_00093-1|s_016um_00055_00092-1,paracrine,low,49.89,reviewed
s_016um_00053_00093-1|s_016um_00055_00093-1,paracrine,low,49.89,unreviewed
s_016um_00053_00093-1|s_016um_00055_00094-1,paracrine,low,49.89,unreviewed
s_016um_00053_00096-1|s_016um_00053_00096-1,autocrine,low,49.89,unreviewed
s_016um_00053_00096-1|s_016um_00053_00097-1,paracrine,low,49.89,unreviewed
s_016um_00053_00096-1|s_016um_00053_00098-1,paracrine,low,49.89,reviewed
s_016um_00053_00096-1|s_016um_00054_00094-1,paracrine,low,49.89,unreviewed
s_016um_00053_00096-1|s_016um_00054_00095-1,paracrine,low,49.89,unreviewed
s_016um_00053_00096-1|s_016um_00054_00096-1,paracrine,low,49.89,unreviewed
s_016um_00053_00096-1|s_016um_00054_00097-1,paracrine,low,49.89,unreviewed
s_016um_00053_00096-1|s_016um_00054_00098-1,paracrine,low,49.89,unreviewed
s_016um_00053_00096-1|s_016um_00055_00095-1,paracrine,low,49.89,unreviewed
s_016um_00053_00096-1|s_016um_00055_00096-1,paracrine,low,49.89,reviewed
s_016um_00053_00096-1|s_016um_00055_00097-1,paracrine,low,49.89,reviewed
s_016um_00053_00097-1|s_016um_00053_00096-1,paracrine,low,49.89,reviewed
s_016um_00053_00097-1|s_016um_00053_00097-1,autocrine,low,49.89,reviewed
s_016um_00053_00097-1|s_016um_00053_00098-1,paracrine,low,49.89,unreviewed
s_016um_00053_00097-1|s_016um_00053_00099-1,paracrine,low,49.89,unreviewed
s_016um_00053_00097-1|s_016um_00054_00095-1,paracrine,low,49.89,unreviewed
s_016um_00053_00097-1|s_016um_00054_00096-1,paracrine,low,49.89,unreviewed
s_016um_00053_00097-1|s_016um_00054_00097-1,paracrine,low,49.89,reviewed
s_016um_00053_00097-1|s_016um_00054_00098-1,paracrine,low,49.89,unreviewed
s_016um_00053_00097-1|s_016um_00054_00099-1,paracrine,low,49.89,unreviewed
s_016um_00053_00097-1|s_016um_00055_00096-1,paracrine,low,49.89,unreviewed
s_016um_00053_00097-1|s_016um_00055_00097-1,paracrine,low,49.89,unreviewed
s_016um_00053_00097-1|s_016um_00055_00098-1,paracrine,low,49.89,reviewed
s_016um_00053_00098-1|s_016um_00053_00096-1,paracrine,low,49.89,unreviewed
s_016um_00053_00098-1|s_016um_00053_00097-1,paracrine,low,49.89,unreviewed
s_016um_00053_00098-1|s_016um_00053_00098-1,autocrine,low,49.89,reviewed
s_016um_00053_00098-1|s_016um_00053_00099-1,paracrine,low,49.89,unreviewed
s_016um_00053_00098-1|s_016um_00053_00100-1,paracrine,low,49.89,unreviewed
s_016um_00053_00098-1|s_016um_00054_00096-1,paracrine,low,49.89,unreviewed
s_016um_00053_00098-1|s_016um_00054_00097-1,paracrine,low,49.89,reviewed
s_016um_00053_00098-1|s_016um_00054_00098-1,paracrine,low,49.89,unreviewed
s_016um_00053_00098-1|s_016um_00054_00099-1,paracrine,low,49.89,unreviewed
s_016um_00053_00098-1|s_016um_00054_00100-1,paracrine,low,49.89,unreviewed
s_016um_00053_00098-1|s_016um_00055_00097-1,paracrine,low,49.89,reviewed
s_016um_00053_00098-1|s_016um_00055_00098-1,paracrine,low,49.89,unreviewed
s_016um_00053_00098-1|s_016um_00055_00099-1,paracrine,low,49.89,reviewed
s_016um_00053_00099-1|s_016um_00053_00097-1,paracrine,low,49.89,reviewed
s_016um_00053_00099-1|s_016um_00053_00098-1,paracrine,low,49.89,unreviewed
s_016um_00053_00099-1|s_016um_00053_00099-1,autocrine,low,49.89,unreviewed
s_016um_00053_00099-1|s_016um_00053_00100-1,paracrine,low,49.89,unreviewed
s_016um_00053_00099-1|s_016um_00053_00101-1,paracrine,low,49.89,unreviewed
s_016um_00053_00099-1|s_016um_00054_00097-1,paracrine,low,49.89,unreviewed
s_016um_00053_00099-1|s_016um_00054_00098-1,paracrine,low,49.89,unreviewed
s_016um_00053_00099-1|s_016um_00054_00099-1,paracrine,low,49.89,reviewed
s_016um_00053_00099-1|s_016um_00054_00100-1,paracrine,low,49.89,unreviewed
s_016um_00053_00099-1|s_016um_00054_00101-1,paracrine,low,49.89,unreviewed
s_016um_00053_00099-1|s_016um_00055_00098-1,paracrine,low,49.89,unreviewed
s_016um_00053_00099-1|s_016um_00055_00099-1,paracrine,low,49.89,unreviewed
s_016um_00053_00099-1|s_016um_00055_00100-1,paracrine,low,49.89,unreviewed
s_016um_00053_00100-1|s_016um_00052_00102-1,paracrine,low,49.89,unreviewed
s_016um_00053_00100-1|s_016um_00053_00098-1,paracrine,low,49.89,unreviewed
s_016um_00053_00100-1|s_016um_00053_00099-1,paracrine,low,49.89,reviewed
s_016um_00053_00100-1|s_016um_00053_00100-1,autocrine,low,49.89,unreviewed
s_016um_00053_00100-1|s_016um_00053_00101-1,paracrine,low,49.89,unreviewed
s_016um_00053_00100-1|s_016um_00053_00102-1,paracrine,low,49.89,reviewed
s_016um_00053_00100-1|s_016um_00054_00098-1,paracrine,low,49.89,unreviewed
s_016um_00053_00100-1|s_016um_00054_00099-1,paracrine,low,49.89,reviewed
s_016um_00053_00100-1|s_016um_00054_00100-1,paracrine,low,49.89,unreviewed
s_016um_00053_00100-1|s_016um_00054_00101-1,paracrine,low,49.89,reviewed
s_016um_00053_00100-1|s_016um_00054_00102-1,paracrine,low,49.89,unreviewed
s_016um_00053_00100-1|s_016um_00055_00099-1,paracrine,low,49.89,unreviewed
s_016um_00053_00100-1|s_016um_00055_00100-1,paracrine,low,49.89,unreviewed
s_016um_00053_00100-1|s_016um_00055_00101-1,paracrine,low,49.89,reviewed
s_016um_00053_00101-1|s_016um_00052_00102-1,paracrine,low,49.89,unreviewed
s_016um_00053_00101-1|s_016um_00053_00099-1,paracrine,low,49.89,unreviewed
s_016um_00053_00101-1|s_016um_00053_00100-1,paracrine,low,49.89,reviewed
s_016um_00053_00101-1|s_016um_00053_00101-1,autocrine,low,49.89,unreviewed
s_016um_00053_00101-1|s_016um_00053_00102-1,paracrine,low,49.89,unreviewed
s_016um_00053_00101-1|s_016um_00054_00099-1,paracrine,low,49.89,reviewed
s_016um_00053_00101-1|s_016um_00054_00100-1,paracrine,low,49.89,reviewed
s_016um_00053_00101-1|s_016um_00054_00101-1,paracrine,low,49.89,unreviewed
s_016um_00053_00101-1|s_016um_00054_00102-1,paracrine,low,49.89,unreviewed
s_016um_00053_00101-1|s_016um_00054_00103-1,paracrine,low,49.89,reviewed
s_016um_00053_00101-1|s_016um_00055_00100-1,paracrine,low,49.89,unreviewed
s_016um_00053_00101-1|s_016um_00055_00101-1,paracrine,low,49.89,unreviewed
s_016um_00053_00101-1|s_016um_00055_00102-1,paracrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00052_00102-1,paracrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00053_00100-1,paracrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00053_00101-1,paracrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00053_00102-1,autocrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00054_00100-1,paracrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00054_00101-1,paracrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00054_00102-1,paracrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00054_00103-1,paracrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00054_00104-1,paracrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00055_00101-1,paracrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00055_00102-1,paracrine,low,49.89,unreviewed
s_016um_00053_00102-1|s_016um_00055_00103-1,paracrine,low,49.89,reviewed
s_016um_00053_00105-1|s_016um_00052_00105-1,paracrine,low,49.89,unreviewed
s_016um_00053_00105-1|s_016um_00052_00106-1,paracrine,low,49.89,unreviewed
s_016um_00053_00105-1|s_016um_00052_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00105-1|s_016um_00053_00105-1,autocrine,low,49.89,reviewed
s_016um_00053_00105-1|s_016um_00053_00106-1,paracrine,low,49.89,unreviewed
s_016um_00053_00105-1|s_016um_00053_00107-1,paracrine,low,49.89,reviewed
s_016um_00053_00105-1|s_016um_00054_00103-1,paracrine,low,49.89,unreviewed
s_016um_00053_00105-1|s_016um_00054_00104-1,paracrine,low,49.89,reviewed
s_016um_00053_00105-1|s_016um_00054_00105-1,paracrine,low,49.89,unreviewed
s_016um_00053_00105-1|s_016um_00054_00106-1,paracrine,low,49.89,unreviewed
s_016um_00053_00105-1|s_016um_00054_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00105-1|s_016um_00055_00104-1,paracrine,low,49.89,unreviewed
s_016um_00053_00105-1|s_016um_00055_00105-1,paracrine,low,49.89,unreviewed
s_016um_00053_00105-1|s_016um_00055_00106-1,paracrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00052_00105-1,paracrine,low,49.89,reviewed
s_016um_00053_00106-1|s_016um_00052_00106-1,paracrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00052_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00052_00108-1,paracrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00053_00105-1,paracrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00053_00106-1,autocrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00053_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00053_00108-1,paracrine,low,49.89,reviewed
s_016um_00053_00106-1|s_016um_00054_00104-1,paracrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00054_00105-1,paracrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00054_00106-1,paracrine,low,49.89,reviewed
s_016um_00053_00106-1|s_016um_00054_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00054_00108-1,paracrine,low,49.89,reviewed
s_016um_00053_00106-1|s_016um_00055_00105-1,paracrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00055_00106-1,paracrine,low,49.89,unreviewed
s_016um_00053_00106-1|s_016um_00055_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00052_00105-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00052_00106-1,paracrine,low,49.89,reviewed
s_016um_00053_00107-1|s_016um_00052_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00052_00108-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00052_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00053_00105-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00053_00106-1,paracrine,low,49.89,reviewed
s_016um_00053_00107-1|s_016um_00053_00107-1,autocrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00053_00108-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00053_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00054_00105-1,paracrine,low,49.89,reviewed
s_016um_00053_00107-1|s_016um_00054_00106-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00054_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00054_00108-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00054_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00055_00106-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00055_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00107-1|s_016um_00055_00108-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00051_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00052_00106-1,paracrine,low,49.89,reviewed
s_016um_00053_00108-1|s_016um_00052_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00052_00108-1,paracrine,low,49.89,reviewed
s_016um_00053_00108-1|s_016um_00052_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00052_00110-1,paracrine,low,49.89,reviewed
s_016um_00053_00108-1|s_016um_00053_00106-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00053_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00053_00108-1,autocrine,low,49.89,reviewed
s_016um_00053_00108-1|s_016um_00053_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00053_00110-1,paracrine,low,49.89,reviewed
s_016um_00053_00108-1|s_016um_00054_00106-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00054_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00054_00108-1,paracrine,low,49.89,reviewed
s_016um_00053_00108-1|s_016um_00054_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00054_00110-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00055_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00108-1|s_016um_00055_00108-1,paracrine,low,49.89,reviewed
s_016um_00053_00108-1|s_016um_00055_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00109-1|s_016um_00051_00109-1,paracrine,low,49.89,reviewed
s_016um_00053_00109-1|s_016um_00052_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00109-1|s_016um_00052_00108-1,paracrine,low,49.89,unreviewed
s_016um_00053_00109-1|s_016um_00052_00109-1,paracrine,low,49.89,reviewed
s_016um_00053_00109-1|s_016um_00052_00110-1,paracrine,low,49.89,reviewed
s_016um_00053_00109-1|s_016um_00053_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00109-1|s_016um_00053_00108-1,paracrine,low,49.89,reviewed
s_016um_00053_00109-1|s_016um_00053_00109-1,autocrine,high,99.89,unreviewed
s_016um_00053_00109-1|s_016um_00053_00110-1,paracrine,low,49.89,unreviewed
s_016um_00053_00109-1|s_016um_00054_00107-1,paracrine,low,49.89,unreviewed
s_016um_00053_00109-1|s_016um_00054_00108-1,paracrine,low,49.89,unreviewed
s_016um_00053_00109-1|s_016um_00054_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00109-1|s_016um_00054_00110-1,paracrine,low,49.89,reviewed
s_016um_00053_00109-1|s_016um_00055_00108-1,paracrine,low,49.89,reviewed
s_016um_00053_00109-1|s_016um_00055_00109-1,paracrine,low,49.89,reviewed
s_016um_00053_00109-1|s_016um_00055_00110-1,paracrine,low,49.89,unreviewed
s_016um_00053_00110-1|s_016um_00051_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00110-1|s_016um_00052_00108-1,paracrine,low,49.89,reviewed
s_016um_00053_00110-1|s_016um_00052_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00110-1|s_016um_00052_00110-1,paracrine,low,49.89,unreviewed
s_016um_00053_00110-1|s_016um_00053_00108-1,paracrine,low,49.89,reviewed
s_016um_00053_00110-1|s_016um_00053_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00110-1|s_016um_00053_00110-1,autocrine,low,49.89,reviewed
s_016um_00053_00110-1|s_016um_00054_00108-1,paracrine,low,49.89,unreviewed
s_016um_00053_00110-1|s_016um_00054_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00110-1|s_016um_00054_00110-1,paracrine,low,49.89,reviewed
s_016um_00053_00110-1|s_016um_00055_00109-1,paracrine,low,49.89,unreviewed
s_016um_00053_00110-1|s_016um_00055_00110-1,paracrine,low,49.89,reviewed
s_016um_00053_00110-1|s_016um_00055_00111-1,paracrine,low,49.89,reviewed
s_016um_00054_00086-1|s_016um_00054_00086-1,autocrine,low,49.89,reviewed
s_016um_00054_00086-1|s_016um_00054_00088-1,paracrine,low,49.89,unreviewed
s_016um_00054_00086-1|s_016um_00055_00084-1,paracrine,low,49.89,unreviewed
s_016um_00054_00086-1|s_016um_00055_00086-1,paracrine,low,49.89,unreviewed
s_016um_00054_00086-1|s_016um_00055_00087-1,paracrine,low,49.89,unreviewed
s_016um_00054_00086-1|s_016um_00055_00088-1,paracrine,low,49.89,unreviewed
s_016um_00054_00086-1|s_016um_00056_00085-1,paracrine,low,49.89,unreviewed
s_016um_00054_00086-1|s_016um_00056_00086-1,paracrine,low,49.89,unreviewed
s_016um_00054_00086-1|s_016um_00056_00087-1,paracrine,low,49.89,unreviewed
s_016um_00054_00088-1|s_016um_00054_00086-1,paracrine,low,49.89,unreviewed
s_016um_00054_00088-1|s_016um_00054_00088-1,autocrine,low,49.89,unreviewed
s_016um_00054_00088-1|s_016um_00054_00090-1,paracrine,low,49.89,unreviewed
s_016um_00054_00088-1|s_016um_00055_00086-1,paracrine,low,49.89,reviewed
s_016um_00054_00088-1|s_016um_00055_00087-1,paracrine,low,49.89,reviewed
s_016um_00054_00088-1|s_016um_00055_00088-1,paracrine,low,49.89,unreviewed
s_016um_00054_00088-1|s_016um_00055_00089-1,paracrine,low,49.89,unreviewed
s_016um_00054_00088-1|s_016um_00055_00090-1,paracrine,low,49.89,unreviewed
s_016um_00054_00088-1|s_016um_00056_00087-1,paracrine,low,49.89,unreviewed
s_016um_00054_00088-1|s_016um_00056_00088-1,paracrine,low,49.89,unreviewed
s_016um_00054_00088-1|s_016um_00056_00089-1,paracrine,low,49.89,unreviewed
s_016um_00054_00090-1|s_016um_00054_00088-1,paracrine,low,49.89,unreviewed
s_016um_00054_00090-1|s_016um_00054_00090-1,autocrine,low,49.89,reviewed
s_016um_00054_00090-1|s_016um_00054_00091-1,paracrine,low,49.89,unreviewed
s_016um_00054_00090-1|s_016um_00054_00092-1,paracrine,low,49.89,unreviewed
s_016um_00054_00090-1|s_016um_00055_00088-1,paracrine,low,49.89,unreviewed
s_016um_00054_00090-1|s_016um_00055_00089-1,paracrine,low,49.89,unreviewed
s_016um_00054_00090-1|s_016um_00055_00090-1,paracrine,low,49.89,unreviewed
s_016um_00054_00090-1|s_016um_00055_00091-1,paracrine,low,49.89,reviewed
s_016um_00054_00090-1|s_016um_00055_00092-1,paracrine,low,49.89,unreviewed
s_016um_00054_00090-1|s_016um_00056_00089-1,paracrine,low,49.89,reviewed
s_016um_00054_00090-1|s_016um_00056_00090-1,paracrine,low,49.89,unreviewed
s_016um_00054_00090-1|s_016um_00056_00091-1,paracrine,low,49.89,reviewed
s_016um_00054_00091-1|s_016um_00053_00093-1,paracrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00054_00090-1,paracrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00054_00091-1,autocrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00054_00092-1,paracrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00054_00093-1,paracrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00055_00089-1,paracrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00055_00090-1,paracrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00055_00091-1,paracrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00055_00092-1,paracrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00055_00093-1,paracrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00056_00090-1,paracrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00056_00091-1,paracrine,low,49.89,unreviewed
s_016um_00054_00091-1|s_016um_00056_00092-1,paracrine,low,49.89,unreviewed
s_016um_00054_00092-1|s_016um_00053_00093-1,paracrine,low,49.89,unreviewed
s_016um_00054_00092-1|s_016um_00054_00090-1,paracrine,low,49.89,reviewed
s_016um_00054_00092-1|s_016um_00054_00091-1,paracrine,low,49.89,unreviewed
s_016um_00054_00092-1|s_016um_00054_00092-1,autocrine,low,49.89,unreviewed
