,interaction_class,confidence,reviewed
hbpoaeic-1|koaolmni-1,heterotypic,0.402,no
hhmlkgel-1|ibclpflk-1,homotypic,0.622,yes
hhmlkgel-1|koaolmni-1,heterotypic,0.972,yes
hkhcepfl-1|ibclpflk-1,heterotypic,0.709,yes
ibclpflk-1|niehkpen-1,homotypic,0.806,no
ifjkhhkf-1|kfefndgm-1,heterotypic,0.94,yes
kfefndgm-1|ifjkhhkf-1,heterotypic,0.925,yes
lfenejfi-1|koaolmni-1,heterotypic,0.635,no
niehkpen-1|hhmlkgel-1,homotypic,0.462,yes
oinmeidp-1|lfenejfi-1,homotypic,0.437,no
ibclpflk-1|ibclpflk-1,homotypic,0.525,no
bhakoonb-1|aaamobki-1,homotypic,0.604,no
ckfandjp-1|ehjojgpl-1,homotypic,0.4,no
djgiipfb-1|ehjojgpl-1,heterotypic,0.461,no
ehjojgpl-1|egeelggc-1,homotypic,0.415,yes
fkhfgimb-1|gackndbe-1,heterotypic,0.768,no
ghfdfbpc-1|gjklkjjk-1,heterotypic,0.551,no
ghfdfbpc-1|gpihhicj-1,heterotypic,0.618,no
gpihhicj-1|bhakoonb-1,heterotypic,0.909,yes
hkhcepfl-1|hhmlkgel-1,heterotypic,0.68,no
ibclpflk-1|hbpoaeic-1,heterotypic,0.452,no
ifjkhhkf-1|kecdfjaf-1,homotypic,0.606,no
jdchjdgi-1|kfefndgm-1,heterotypic,0.897,no
koaolmni-1|ibclpflk-1,heterotypic,0.414,yes
aaclkaod-1|ckfandjp-1,heterotypic,0.717,no
bhakoonb-1|fkhfgimb-1,heterotypic,0.726,no
bpefijoo-1|ckfandjp-1,heterotypic,0.717,yes
dkcgpkmh-1|ckfandjp-1,heterotypic,0.918,yes
dkcgpkmh-1|ehjojgpl-1,heterotypic,0.557,no
gpihhicj-1|ckfandjp-1,heterotypic,0.5,yes
gpihhicj-1|fkhfgimb-1,heterotypic,0.72,yes
gpihhicj-1|gackndbe-1,homotypic,0.598,no
gpihhicj-1|ghfdfbpc-1,heterotypic,0.887,yes
gpihhicj-1|gjklkjjk-1,heterotypic,0.912,yes
hakcibka-1|koaolmni-1,heterotypic,0.891,yes
jpbefbck-1|kfefndgm-1,heterotypic,0.536,yes
kkonlcio-1|kfefndgm-1,homotypic,0.613,no
koaolmni-1|ohmibdle-1,heterotypic,0.417,no
lfenejfi-1|ohmibdle-1,heterotypic,0.556,yes
oinmeidp-1|ohmibdle-1,heterotypic,0.974,no
ojeggnjp-1|olbjkpjc-1,heterotypic,0.962,yes
olbjkpjc-1|omjmdimk-1,heterotypic,0.973,no
bpefijoo-1|ehjojgpl-1,heterotypic,0.532,no
dkcgpkmh-1|dgcpicgh-1,heterotypic,0.518,no
ghfdfbpc-1|gackndbe-1,heterotypic,0.774,yes
hakcibka-1|niehkpen-1,heterotypic,0.904,no
ifjkhhkf-1|kkonlcio-1,heterotypic,0.792,yes
jdchjdgi-1|kecdfjaf-1,heterotypic,0.451,yes
jedneilm-1|jpbefbck-1,heterotypic,0.946,yes
jpbefbck-1|kkonlcio-1,heterotypic,0.85,no
kggmilif-1|jdchjdgi-1,heterotypic,0.507,yes
kggmilif-1|omjmdimk-1,heterotypic,0.6,yes
ohmibdle-1|ibclpflk-1,heterotypic,0.983,no
ehjojgpl-1|ehjojgpl-1,homotypic,0.641,yes
aaamobki-1|bhakoonb-1,homotypic,0.835,no
aaclkaod-1|bhakoonb-1,heterotypic,0.476,no
aaclkaod-1|ehjojgpl-1,heterotypic,0.943,yes
bhakoonb-1|aaclkaod-1,heterotypic,0.488,yes
egeelggc-1|dgcpicgh-1,heterotypic,0.988,yes
gackndbe-1|ckfandjp-1,heterotypic,0.61,yes
gackndbe-1|ghfdfbpc-1,heterotypic,0.479,no
ghfdfbpc-1|djgiipfb-1,heterotypic,0.983,yes
kecdfjaf-1|kfefndgm-1,heterotypic,0.716,yes
kecdfjaf-1|kggmilif-1,heterotypic,0.66,yes
ohmibdle-1|oinmeidp-1,heterotypic,0.896,no
ojeggnjp-1|jdchjdgi-1,heterotypic,0.551,no
olbjkpjc-1|kfefndgm-1,heterotypic,0.544,yes
aaamobki-1|aaclkaod-1,heterotypic,0.556,no
egeelggc-1|djgiipfb-1,heterotypic,0.479,yes
fkhfgimb-1|ckfandjp-1,heterotypic,0.612,no
gackndbe-1|djgiipfb-1,homotypic,0.75,yes
gjklkjjk-1|gackndbe-1,heterotypic,0.652,yes
hakcibka-1|hbpoaeic-1,homotypic,0.701,yes
hakcibka-1|ibclpflk-1,heterotypic,0.714,no
hbpoaeic-1|niehkpen-1,heterotypic,0.664,no
ifjkhhkf-1|jdchjdgi-1,heterotypic,0.402,yes
jdchjdgi-1|ojeggnjp-1,heterotypic,0.503,no
jedneilm-1|kecdfjaf-1,heterotypic,0.835,yes
kkonlcio-1|kggmilif-1,heterotypic,0.596,yes
koaolmni-1|niehkpen-1,heterotypic,0.733,yes
ohmibdle-1|koaolmni-1,heterotypic,0.464,yes
oinmeidp-1|hhmlkgel-1,homotypic,0.549,no
ghfdfbpc-1|ghfdfbpc-1,homotypic,0.863,yes
djgiipfb-1|gackndbe-1,homotypic,0.737,yes
dkcgpkmh-1|egeelggc-1,heterotypic,0.947,no
ehjojgpl-1|dgcpicgh-1,heterotypic,0.768,yes
ehjojgpl-1|dkcgpkmh-1,heterotypic,0.707,yes
fkhfgimb-1|bhakoonb-1,heterotypic,0.671,yes
gackndbe-1|gjklkjjk-1,heterotypic,0.687,yes
gjklkjjk-1|fkhfgimb-1,heterotypic,0.82,yes
hbpoaeic-1|hhmlkgel-1,heterotypic,0.965,no
hbpoaeic-1|ibclpflk-1,heterotypic,0.736,yes
ibclpflk-1|hakcibka-1,heterotypic,0.904,no
jdchjdgi-1|kggmilif-1,heterotypic,0.473,no
jdchjdgi-1|olbjkpjc-1,heterotypic,0.444,no
kecdfjaf-1|ifjkhhkf-1,homotypic,0.444,yes
kecdfjaf-1|jdchjdgi-1,heterotypic,0.87,yes
kkonlcio-1|jdchjdgi-1,heterotypic,0.493,yes
niehkpen-1|koaolmni-1,heterotypic,0.796,no
niehkpen-1|lfenejfi-1,homotypic,0.93,yes
ojeggnjp-1|kggmilif-1,heterotypic,0.532,yes
ojeggnjp-1|omjmdimk-1,heterotypic,0.639,no
olbjkpjc-1|kecdfjaf-1,heterotypic,0.994,yes
aaamobki-1|gjklkjjk-1,heterotypic,0.497,no
bpefijoo-1|aaamobki-1,heterotypic,0.709,no
dkcgpkmh-1|gackndbe-1,heterotypic,0.517,no
ehjojgpl-1|ckfandjp-1,homotypic,0.833,no
olbjkpjc-1|kggmilif-1,heterotypic,0.732,no
aaclkaod-1|egeelggc-1,heterotypic,0.411,no
bpefijoo-1|egeelggc-1,heterotypic,0.774,yes
djgiipfb-1|dgcpicgh-1,heterotypic,0.439,yes
djgiipfb-1|dkcgpkmh-1,heterotypic,0.873,yes
hbpoaeic-1|ohmibdle-1,heterotypic,0.463,no
kfefndgm-1|omjmdimk-1,heterotypic,0.424,yes
kggmilif-1|kfefndgm-1,heterotypic,0.562,no
kkonlcio-1|kecdfjaf-1,heterotypic,0.653,yes
lfenejfi-1|hbpoaeic-1,heterotypic,0.891,no
ohmibdle-1|hbpoaeic-1,heterotypic,0.49,yes
ohmibdle-1|lfenejfi-1,heterotypic,0.742,yes
ohmibdle-1|niehkpen-1,heterotypic,0.454,no
ojeggnjp-1|kecdfjaf-1,heterotypic,0.813,no
ckfandjp-1|bhakoonb-1,homotypic,0.443,yes
ckfandjp-1|gackndbe-1,heterotypic,0.781,yes
dgcpicgh-1|djgiipfb-1,heterotypic,0.45,yes
djgiipfb-1|ckfandjp-1,heterotypic,0.44,yes
fkhfgimb-1|aaamobki-1,heterotypic,0.672,no
hkhcepfl-1|hbpoaeic-1,heterotypic,0.732,yes
ibclpflk-1|koaolmni-1,heterotypic,0.561,no
jdchjdgi-1|omjmdimk-1,homotypic,0.716,no
jedneilm-1|kfefndgm-1,homotypic,0.466,no
kkonlcio-1|ifjkhhkf-1,heterotypic,0.43,no
oinmeidp-1|niehkpen-1,homotypic,0.587,no
ojeggnjp-1|jedneilm-1,homotypic,0.856,no
olbjkpjc-1|ojeggnjp-1,heterotypic,0.7,no
aaclkaod-1|aaclkaod-1,homotypic,0.608,no
djgiipfb-1|egeelggc-1,heterotypic,0.55,no
ghfdfbpc-1|fkhfgimb-1,homotypic,0.84,yes
koaolmni-1|lfenejfi-1,heterotypic,0.514,no
omjmdimk-1|kecdfjaf-1,heterotypic,0.961,no
bhakoonb-1|ckfandjp-1,homotypic,0.891,no
dgcpicgh-1|dkcgpkmh-1,heterotypic,0.697,yes
ehjojgpl-1|djgiipfb-1,heterotypic,0.636,yes
gjklkjjk-1|gpihhicj-1,heterotypic,0.813,yes
hhmlkgel-1|ohmibdle-1,heterotypic,0.606,yes
jedneilm-1|jdchjdgi-1,heterotypic,0.824,yes
kggmilif-1|ojeggnjp-1,heterotypic,0.643,no
kkonlcio-1|jpbefbck-1,heterotypic,0.433,no
lfenejfi-1|ibclpflk-1,homotypic,0.442,yes
niehkpen-1|ohmibdle-1,heterotypic,0.553,no
dkcgpkmh-1|dkcgpkmh-1,homotypic,0.451,yes
aaamobki-1|bpefijoo-1,heterotypic,0.922,yes
aaamobki-1|fkhfgimb-1,heterotypic,0.569,no
aaclkaod-1|bpefijoo-1,heterotypic,0.576,no
ckfandjp-1|bpefijoo-1,heterotypic,0.495,no
dkcgpkmh-1|djgiipfb-1,heterotypic,0.558,yes
ehjojgpl-1|gackndbe-1,heterotypic,0.984,yes
gjklkjjk-1|bhakoonb-1,heterotypic,0.547,yes
hbpoaeic-1|hakcibka-1,homotypic,0.586,no
hhmlkgel-1|hbpoaeic-1,heterotypic,0.401,no
hhmlkgel-1|niehkpen-1,homotypic,0.685,yes
hkhcepfl-1|hakcibka-1,heterotypic,0.521,yes
hkhcepfl-1|koaolmni-1,heterotypic,0.403,no
ibclpflk-1|hhmlkgel-1,homotypic,0.454,no
ifjkhhkf-1|jpbefbck-1,heterotypic,0.425,no
jedneilm-1|ojeggnjp-1,homotypic,0.583,no
jpbefbck-1|ifjkhhkf-1,heterotypic,0.751,yes
jpbefbck-1|jedneilm-1,heterotypic,0.85,yes
koaolmni-1|oinmeidp-1,heterotypic,0.83,yes
olbjkpjc-1|jdchjdgi-1,heterotypic,0.634,no
omjmdimk-1|kggmilif-1,heterotypic,0.991,no
